WBIC,dnr_field,dnr_lab,edi,usgs_lab,final_value,datasource,unit
503300,19,20,32,NA,20,dnr_lab,us/cm
504300,230,213,192,NA,213,dnr_lab,us/cm
518300,407.5,394.5,361,NA,394.5,dnr_lab,us/cm
519700,NA,133.7142857,105,NA,133.7142857,dnr_lab,us/cm
523300,174.5,170,211,NA,170,dnr_lab,us/cm
525900,260.9642857,273.7142857,243,248.75,273.7142857,dnr_lab,us/cm
528500,NA,229.25,228,NA,229.25,dnr_lab,us/cm
530500,242,207.6666667,262,NA,207.6666667,dnr_lab,us/cm
530700,NA,NA,286,NA,286,edi,us/cm
533600,201.8888889,205.3333333,237,NA,205.3333333,dnr_lab,us/cm
537900,60,NA,102,NA,60,dnr_field,us/cm
556900,190,NA,203,NA,190,dnr_field,us/cm
574100,NA,NA,31,23,31,edi,us/cm
585100,124.3548387,106,122,NA,106,dnr_lab,us/cm
589400,18.47,13.9,53,NA,13.9,dnr_lab,us/cm
589800,NA,NA,29,NA,29,edi,us/cm
614200,277.6875,279.6666667,432,NA,279.6666667,dnr_lab,us/cm
614900,NA,NA,280,NA,280,edi,us/cm
617900,NA,175,390,NA,175,dnr_lab,us/cm
626200,NA,NA,208,NA,208,edi,us/cm
632800,NA,NA,233,NA,233,edi,us/cm
633100,NA,155.5714286,200,NA,155.5714286,dnr_lab,us/cm
642100,177.4875,NA,112,NA,177.4875,dnr_field,us/cm
650000,217.6307692,NA,170,NA,217.6307692,dnr_field,us/cm
650500,224.4026316,212.6,210,NA,212.6,dnr_lab,us/cm
652200,239.288,NA,198,NA,239.288,dnr_field,us/cm
653700,264.694702,179.037037,156,NA,179.037037,dnr_lab,us/cm
653900,138.7909091,NA,144,NA,138.7909091,dnr_field,us/cm
672300,239.1268041,201.3333333,175,NA,201.3333333,dnr_lab,us/cm
677100,213.9375,197.25,177,NA,197.25,dnr_lab,us/cm
677400,229,194.6666667,197,NA,194.6666667,dnr_lab,us/cm
679300,234.4285714,199,177,NA,199,dnr_lab,us/cm
683000,193,NA,180,NA,193,dnr_field,us/cm
692400,110,114.5,101,NA,114.5,dnr_lab,us/cm
692600,NA,NA,42,NA,42,edi,us/cm
692900,43,47.66666667,42,NA,47.66666667,dnr_lab,us/cm
702800,296.5428571,NA,218,NA,296.5428571,dnr_field,us/cm
703300,285.56,236,222,NA,236,dnr_lab,us/cm
704200,467.0434783,NA,170,NA,467.0434783,dnr_field,us/cm
706900,73.37,NA,130,NA,73.37,dnr_field,us/cm
716800,129.868,73.03333333,81,NA,73.03333333,dnr_lab,us/cm
717400,NA,69.66666667,17,NA,69.66666667,dnr_lab,us/cm
738400,581.0535714,604.8333333,369,618.75,604.8333333,dnr_lab,us/cm
740400,300.7857143,309,326,322.22,309,dnr_lab,us/cm
740700,141.1,189,166,NA,189,dnr_lab,us/cm
740900,258.4444444,620.4588529,260,NA,620.4588529,dnr_lab,us/cm
741200,180,165,116,NA,165,dnr_lab,us/cm
741500,418.2857778,410,336,NA,410,dnr_lab,us/cm
741600,NA,NA,557,NA,557,edi,us/cm
741700,197.5,253,NA,NA,253,dnr_lab,us/cm
741800,231.6666667,NA,256,NA,231.6666667,dnr_field,us/cm
742800,504.9128205,465.2857143,366,535.83,465.2857143,dnr_lab,us/cm
743000,722.2590331,612.4444444,410,643.17,612.4444444,dnr_lab,us/cm
743800,425,613,491,606,613,dnr_lab,us/cm
743900,NA,622.3333333,328,622.33,622.3333333,dnr_lab,us/cm
744200,455.7272727,504.375,328,485.61,504.375,dnr_lab,us/cm
747900,466.5625,510.9,362,NA,510.9,dnr_lab,us/cm
748800,NA,NA,372,NA,372,edi,us/cm
750300,543.0288454,524.6164384,679,NA,524.6164384,dnr_lab,us/cm
753800,497.4797297,440.2105263,318,439.8,440.2105263,dnr_lab,us/cm
755600,489.0169492,440.4347826,386,504.17,440.4347826,dnr_lab,us/cm
755700,510.3214286,472.12,373,525.85,472.12,dnr_lab,us/cm
755800,445.9672131,402.9565217,346,468.83,402.9565217,dnr_lab,us/cm
756700,418,NA,457,NA,418,dnr_field,us/cm
758300,455.3461538,486.1282051,394,495.08,486.1282051,dnr_lab,us/cm
759800,430.7288136,440,565,472.5,440,dnr_lab,us/cm
760900,426,418,550,453.6,418,dnr_lab,us/cm
761100,506.5,NA,588,468,506.5,dnr_field,us/cm
