FID,TNMID,GNIS_ID,AreaAcres,AreaSqKm,States,HUC8,Name,Ha,Pct_In_NWI,Ha_In_NWI,LAT,Lon,ZoneID
189,{9E7FFFCD-C005-47C3-9826-61EDCB9FDCA8},0.000000000000000,1300167.000000000000000,5261.702280470000000,MI,04050003,Kalamazoo,526170.227315000030000,100.000000000000000,526170.227911000020000,42.413716977900002,-85.337557488599998,HU8_190
190,{9766C010-00CC-47CA-BFCC-86D053F5BCE0},0.000000000000000,1126455.000000000000000,4558.700085479999900,MI,04050004,Upper Grand,455870.007793999980000,100.000000000000000,455870.008169999990000,42.564133656599999,-84.438348542400007,HU8_191
191,{1C2513FF-187D-42B2-AA3F-8B557271E0AF},0.000000000000000,605301.000000000000000,2449.620013740000100,MI,04050005,Maple,244962.004686000000000,100.000000000000000,244962.002773999990000,43.079304522299999,-84.644624483200005,HU8_192
192,{DD0FA615-39B6-4D5B-A46E-ED946E17E4F5},0.000000000000000,1293809.000000000000000,5235.974819480000400,MI,04050006,Lower Grand,523597.480988000000000,100.000000000000000,523597.481512999980000,43.103736553700003,-85.516417048199997,HU8_193
193,{B6D6044B-7ED1-4003-ABA1-27226CF2A4F9},0.000000000000000,543372.000000000000000,2198.995051710000100,MI,04050007,Thornapple,219899.506132000010000,100.000000000000000,219899.505642000000000,42.680838840000000,-85.183250052299996,HU8_194
194,{32C20E6B-24B5-4765-8A9C-3F3BB518F8E9},0.000000000000000,1333141.000000000000000,5395.146888899999800,MI,04060101,Pere Marquette-White,539514.689356000050000,100.000000000000000,539514.689118999990000,43.742587707900000,-86.097124294500006,HU8_195
195,{74A27870-492D-44D1-8D79-42D2EA506FAD},0.000000000000000,1745037.000000000000000,7062.068089000000300,MI,04060102,Muskegon,706206.809936000030000,100.000000000000000,706206.809320000000000,43.913411232999998,-85.287440653900006,HU8_196
196,{44F33ABF-06D6-4F24-AE99-2EFAEED1201A},0.000000000000000,1247852.000000000000000,5049.987822670000200,MI,04060103,Manistee,504998.789210000020000,100.000000000000000,504998.785006000020000,44.404542211600003,-85.540920750300003,HU8_202
197,{8C6675EE-9A50-4EA8-8D45-FB86A34C1252},0.000000000000000,509331.000000000000000,2061.235154269999800,MI,04060104,Betsie-Platte,206123.507654999990000,100.000000000000000,206123.512236999990000,44.707694582099997,-85.932792757800001,HU8_203
198,{27637D94-364E-4609-B32D-C18F765AFF1A},0.000000000000000,1067539.000000000000000,4320.271247509999700,MI,04060105,Boardman-Charlevoix,432027.124012999990000,100.000000000000000,432027.124178000030000,45.049180327599998,-85.183452524700002,HU8_204
199,{E1A0B077-9D03-4A57-B179-B7914473DB14},0.000000000000000,941487.000000000000000,3810.144132989999900,MI,04060106,Manistique,381014.412172999990000,100.000000000000000,381014.412637999980000,46.262964634200003,-86.187943418100005,HU8_156
200,{87FE39DC-13A7-4C62-9B10-7E574E712E1F},0.000000000000000,353649.000000000000000,1431.196526470000000,MI,04060107,Brevoort-Millecoquins,143119.655166000010000,100.000000000000000,143119.652727999990000,46.073450522300000,-85.498216344599996,HU8_157
201,{4A8378BB-D24F-4D80-831E-83BCDB2D10ED},0.000000000000000,926345.000000000000000,3748.865683160000100,MI,04080201,Tittabawassee,374886.560870999990000,100.000000000000000,374886.564322000020000,43.892785715000002,-84.482005126900006,HU8_208
202,{4DE89870-9DD3-4964-A690-94BCFC199379},0.000000000000000,656376.000000000000000,2656.315391839999800,MI,04080202,Pine,265631.535825000030000,100.000000000000000,265631.537771000000000,43.572521343500000,-84.850364696300005,HU8_197
203,{FE2C71B9-A697-41EE-B33E-71A707D6DBBF},0.000000000000000,810029.000000000000000,3278.140973640000100,MI,04080203,Shiawassee,327814.104635000000000,100.000000000000000,327814.099795999990000,43.072058712299999,-84.087296455699999,HU8_198
204,{DA87EC7E-FB57-4A0E-8713-10567559A58B},0.000000000000000,851491.000000000000000,3445.935161240000100,MI,04080204,Flint,344593.516752999970000,100.000000000000000,344593.516500999980000,43.068552850000003,-83.558719028900001,HU8_215
205,{39C38810-4CB2-46C5-A379-BF0F0F8622E0},0.000000000000000,581023.000000000000000,2351.366605140000000,MI,04080205,Cass,235136.661781000000000,100.000000000000000,235136.661113000010000,43.437924107000001,-83.237251243599999,HU8_216
