wiscwaterl,clusterid,SiteID,SiteType,Latitude,Longitude,US_L3NAME,HUC4,HUC4_Name,HUC4_hectares,HUC8,HUC8_Name,HUC8_hectares,HUC12,HUC12_Name,HUC12_hectares
114,4,0.000000,Well,44.073720,-87.701710,Southeastern Wisconsin Till Plains,0403,Northwestern Lake Michigan,4847042.26571000000,04030101,Manitowoc-Sheboygan,422187.42607700000,040301010604,Little Manitowoc River-Frontal Lake Michigan,5271.91572908000
115,2,0.000000,Well,43.811080,-90.770410,Driftless Area,0704,Upper Mississippi-Black-Root,2787250.83836000000,07040006,La Crosse-Pine,180019.69890300000,070400060303,Headwaters Little La Crosse River,13505.75865450000
116,1,0.000000,Well,43.728330,-90.832220,Driftless Area,0706,Upper Mississippi-Maquoketa-Plum,2225654.25825000000,07060001,Coon-Yellow,368849.49662800000,070600010101,Timber Coulee Creek,9150.32961786000
117,1,0.000000,Well,44.007220,-90.650280,Driftless Area,0704,Upper Mississippi-Black-Root,2787250.83836000000,07040006,La Crosse-Pine,180019.69890300000,070400060201,Tarr Creek,5555.20617450000
118,1,0.000000,Well,43.665750,-89.465580,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010603,Good Earth Creek-Fox River,10339.51315540000
119,1,0.000000,Well,43.879270,-89.493150,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010302,Westfield Creek,12646.79703810000
120,4,0.000000,Well,43.894190,-89.514860,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010302,Westfield Creek,12646.79703810000
121,4,0.000000,Well,44.979130,-90.095690,North Central Hardwood Forests,0707,Wisconsin,3090691.10055000000,07070002,Lake Dubay,704323.62240900000,070700021503,Randall Creek,8116.27415715000
122,3,0.000000,Well,44.986690,-89.628860,North Central Hardwood Forests,0707,Wisconsin,3090691.10055000000,07070002,Lake Dubay,704323.62240900000,070700021402,Jim Moore Creek-Wisconsin River,10347.44996040000
123,3,0.000000,Well,45.637390,-87.983670,Northern Lakes and Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030108,Menominee,593867.98624700000,040301080502,South Branch Pemebonwon River,9099.13428681000
124,3,0.000000,Well,45.627460,-89.366800,Northern Lakes and Forests,0707,Wisconsin,3090691.10055000000,07070001,Upper Wisconsin,564561.55749500000,070700010708,Lower Pelican River,9168.23164948000
125,3,0.000000,Well,45.397740,-92.555760,North Central Hardwood Forests,0703,St. Croix,1999384.11855000000,07030005,Lower St. Croix,677676.43209600000,070300050804,Horse Lake-Horse Creek,8961.03148022000
126,3,0.000000,Well,45.528770,-92.504560,North Central Hardwood Forests,0703,St. Croix,1999384.11855000000,07030005,Lower St. Croix,677676.43209600000,070300050801,Balsam Lake,15762.92962230000
127,4,0.000000,Well,44.513060,-92.290560,Driftless Area,0704,Upper Mississippi-Black-Root,2787250.83836000000,07040001,Rush-Vermillion,288037.60795000000,070400010705,Lake Pepin,31410.18009300000
128,4,0.000000,Well,44.606630,-91.856830,Driftless Area,0705,Chippewa,2470307.88753000000,07050005,Lower Chippewa,533484.59657200000,070500051201,Bear Creek,12460.49101970000
129,3,0.000000,Well,45.553020,-90.114870,Northern Lakes and Forests,0707,Wisconsin,3090691.10055000000,07070001,Upper Wisconsin,564561.55749500000,070700011102,Headwaters-Somo River,12691.43764950000
130,4,0.000000,Well,44.309500,-89.529150,North Central Hardwood Forests,0707,Wisconsin,3090691.10055000000,07070003,Castle Rock,841594.77895900000,070700030502,Ditch number 5-Ditch number 9,5990.33728082000
131,4,0.000000,Well,44.332920,-89.309920,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302021809,Mud Lake-Waupaca River,10483.93682410000
132,4,0.000000,Well,44.470850,-89.333020,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302021802,Lake Emily,2553.90546276000
133,4,0.000000,Well,44.561920,-89.287500,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302021502,Flume Creek,14519.47019710000
134,1,0.000000,Well,43.311100,-90.342350,Driftless Area,0707,Wisconsin,3090691.10055000000,07070005,Lower Wisconsin,611638.46347800000,070700051107,Brush Creek-Pine River,10255.43017570000
135,1,0.000000,Well,42.505293,-89.034554,Southeastern Wisconsin Till Plains,0709,Rock,2827592.80343000000,07090002,Middle Rock,474326.13274000000,070900021502,City of Beloit-Lower Rock River,12388.49443040000
