FID_1,wiscwaterl,SiteID,clustid1,clustid2,clustid3,SiteType,Latitude,Longitude,NEAR_DIST,Count_,Cap_GPD
72,73.00000000000,FR-40/12E/21-0087,1.00000000000,3.00000000000,2.00000000000,Well,45.93496000000,-88.99179000000,9847.85978888000,0,0
73,74.00000000000,GL-14/13E/06-0032,2.00000000000,1.00000000000,1.00000000000,Well,43.71054000000,-88.99039000000,56.95103736240,4,4320000
74,75.00000000000,GL-16/12E/21-0047,2.00000000000,1.00000000000,3.00000000000,Well,43.83637000000,-89.08262000000,323.59429201200,3,4032000
75,76.00000000000,GN-03/06E/18-0002,2.00000000000,1.00000000000,1.00000000000,Well,42.74083686000,-89.82984580000,4363.36572344000,0,0
76,77.00000000000,GR-05/02W/06-0005,2.00000000000,1.00000000000,1.00000000000,Well,42.93082278000,-90.65373760000,2662.73712587000,0,0
77,78.00000000000,GR-05/06W/27-0132,2.00000000000,1.00000000000,1.00000000000,Well,42.87943236000,-91.07262850000,2536.59730111000,0,0
78,79.00000000000,GR-05/06W/27-0133,2.00000000000,1.00000000000,1.00000000000,Well,42.87943236000,-91.07262850000,2536.59730111000,0,0
79,80.00000000000,GR-05/06W/27-0134,2.00000000000,1.00000000000,1.00000000000,Well,42.87943236000,-91.07262850000,2536.59730111000,0,0
80,81.00000000000,IW-06/03E/32-0032,2.00000000000,1.00000000000,1.00000000000,Well,42.94555158000,-90.17206830000,3104.59031344000,0,0
81,82.00000000000,IW-08/05E/18-0110,2.00000000000,4.00000000000,3.00000000000,Well,43.16194000000,-89.94068000000,662.62369480300,20,25632000
82,83.00000000000,JE-05/16E/15-0849,2.00000000000,1.00000000000,1.00000000000,Well,42.89223228000,-88.58954560000,1287.96749384000,2,1540800
83,84.00000000000,K1,3.00000000000,2.00000000000,4.00000000000,Well,46.00375000000,-89.61401700000,7044.21999962000,0,0
84,85.00000000000,K10,3.00000000000,2.00000000000,4.00000000000,Well,46.00356700000,-89.62685000000,8011.31434659000,0,0
85,86.00000000000,K110,3.00000000000,2.00000000000,4.00000000000,Well,46.00070000000,-89.60900000000,6593.05850122000,0,0
86,87.00000000000,K111,3.00000000000,2.00000000000,4.00000000000,Well,46.00071700000,-89.60926700000,6613.71961358000,0,0
87,88.00000000000,K13,3.00000000000,2.00000000000,4.00000000000,Well,46.00058300000,-89.61928300000,7374.18258325000,0,0
88,89.00000000000,K14,3.00000000000,2.00000000000,4.00000000000,Well,46.00063300000,-89.61946700000,7389.17250475000,0,0
89,90.00000000000,K17,1.00000000000,3.00000000000,2.00000000000,Well,46.00761700000,-89.65958300000,5729.36176472000,0,0
90,91.00000000000,K18,1.00000000000,3.00000000000,2.00000000000,Well,46.00791700000,-89.65978300000,5698.30648661000,0,0
91,92.00000000000,K2,3.00000000000,2.00000000000,4.00000000000,Well,46.00400000000,-89.61436700000,7076.97455781000,0,0
92,93.00000000000,K25,1.00000000000,3.00000000000,2.00000000000,Well,46.00281700000,-89.59736700000,5768.02275716000,0,0
