WBIC,WiscID,Name.x,County,lat,long,Type,mg_average,ca_average,unit
246500,148,Lake Morris,Waushara,44.11497815,-89.2015066,drainage,20.58333333,38.83333333,mg
755800,300,Green Lake,Walworth,42.78112379,-88.5709345,drainage,33.33333333,39.83333333,mg
761300,306,Lake Denoon,Waukesha,42.84557107,-88.1675892,drainage,26.69230769,41.15384615,mg
760900,304,Waubeesee Lake,Racine,42.81584936,-88.1709223,drainage,26.5625,44.625,mg
743900,292,Benedict Lake,Kenosha,42.5336292,-88.3023145,drainage,36.66666667,45.66666667,mg
36200,9,Silver Lake (Paradise Valley),Washington,43.38944519,-88.2139834,drainage,35.92,46,mg
848800,352,Lac La Belle,Waukesha,43.1186172,-88.50398819,drainage,32.02222222,46.37777778,mg
849400,353,Fowler Lake,Waukesha,43.11472857,-88.4962102,drainage,33.72727273,47.54545455,mg
761100,305,Long Lake,Racine,42.8269602,-88.1762003,drainage,26.5625,48.1875,mg
849600,354,Oconomowoc Lake,Waukesha,43.09750715,-88.4598204,drainage,33.30930233,48.43023256,mg
768600,312,Eagle Spring Lake,Waukesha,42.85084617,-88.4375972,drainage,26.78947368,48.73684211,mg
755700,299,Middle Lake,Walworth,42.7725129,-88.5653788,drainage,34.64615385,49.36153846,mg
763200,310,Bass Bay Lake,Waukesha,42.89557064,-88.11703279,drainage,29.4875,50.075,mg
60800,19,Wolf Lake,Fond Du Lac,43.86443659,-88.2087116,drainage,36.125,50.8125,mg
738400,278,Hooker Lake,Kenosha,42.559741,-88.1009184,drainage,30.25,51,mg
762700,309,Little Muskego Lake,Waukesha,42.90695908,-88.1431447,drainage,32.83703704,51.61851852,mg
180300,93,Park Lake,Columbia,43.5405385,-89.2987285,drainage,29.6,52,mg
850300,356,Okauchee Lake,Waukesha,43.11167377,-88.4234307,drainage,33.2625,53.16,mg
859900,363,Sinissippi Lake (Hustisford),Dodge,43.35360866,-88.6031572,drainage,30.66666667,56.33333333,mg
827100,344,Upper Nemahbin Lake,Waukesha,43.05945289,-88.4317641,drainage,36.7,56.8,mg
743800,291,Tombeau Lake,Walworth,42.5311292,-88.3084259,drainage,34.66666667,57.33333333,mg
763600,311,Tichigan Lake,Racine,42.8150157,-88.2092567,drainage,35.16666667,57.5,mg
1630100,516,Black Oak Lake,Vilas ,46.16301405,-89.316129,seepage,NA,NA,mg
1000700,411,"LONG LAKE NEAR PORTAGE, WI",Columbia,43.49526065,-89.439564,drainage,NA,NA,mg
1000800,412,Long Lake (Oasis),Waushara ,44.2069057,-89.45531352,drainage,NA,NA,mg
1000800,413,Long Lake,Waushara,44.20441806,-89.4490085,drainage,NA,NA,mg
1002600,417,Lucy Lake,Vilas ,45.90262437,-89.83980362,seepage,NA,NA,mg
1005400,420,Mission Lake,Marathon ,44.77767329,-89.35238355,seepage,NA,NA,mg
1005600,421,Moccasin Lake,Langlade ,45.44585828,-89.26998794,seepage,NA,NA,mg
