Year,WBIC,level
2004,501200,892.7255075831008
2005,501200,885.6521615640986
2006,501200,872.480491803471
2007,501200,842.9954203633521
2008,501200,824.5581347239815
2009,501200,810.7949827991275
2010,501200,810.5829489744021
2011,501200,789.5302298502978
2012,501200,769.4037626666626
2013,501200,763.759094934784
2014,501200,775.2546524053189
2015,501200,782.3928637527391
1948,1589100,1000
1949,1589100,995.9066670981406
1950,1589100,988.1148636678511
1951,1589100,1006.8824319639195
1952,1589100,993.5083466273866
1953,1589100,986.0636423405867
1954,1589100,991.9609676472747
1955,1589100,982.6166812691697
1956,1589100,973.2679928688955
1957,1589100,962.6828268471813
1958,1589100,949.4868970988624
1959,1589100,965.6177718924215
1960,1589100,968.3797812837952
1961,1589100,967.103107162932
1962,1589100,958.5157579335994
1963,1589100,936.7805341342347
1964,1589100,930.717265483042
1965,1589100,936.8160750751074
1966,1589100,933.1999958903132
1967,1589100,933.6228217344523
1968,1589100,962.2664132303482
1969,1589100,954.5703233442246
1970,1589100,952.2762554652164
1971,1589100,959.2123659132586
1972,1589100,977.601717320433
1973,1589100,983.7124601211588
1974,1589100,980.4650794907498
1975,1589100,974.0679279094306
1976,1589100,932.4493813555722
1977,1589100,948.9850698348408
1978,1589100,966.300490447428
1979,1589100,967.2379532967298
1980,1589100,973.5343444133534
1981,1589100,981.8330318866961
1982,1589100,1002.9505541330692
1983,1589100,1016.1213501642167
1984,1589100,1012.3188459787274
1985,1589100,1032.8210922558515
1986,1589100,1028.9083727462453
1987,1589100,1006.2857760786258
1988,1589100,992.2975185170454
1989,1589100,965.7035941684271
1990,1589100,979.6741742085806
1991,1589100,1010.5107553290519
1992,1589100,1006.2351318021617
1993,1589100,1003.3267174601172
1994,1589100,1002.8706517510689
1995,1589100,1011.6497454924817
1996,1589100,1032.6077243060176
1997,1589100,1032.5251359110143
1998,1589100,1000.6416831054285
1999,1589100,1002.462315089263
2000,1589100,998.1039829074998
2001,1589100,999.3689832965679
2002,1589100,1012.1650600019273
2003,1589100,995.2398761245017
2004,1589100,987.062422330802
2005,1589100,972.3734683747748
2006,1589100,952.2150753445192
2007,1589100,921.7821587873444
2008,1589100,900.9759150608418
2009,1589100,876.9516129292363
2010,1589100,886.0281796057485
2011,1589100,861.8261902415497
2012,1589100,849.1414700131353
2013,1589100,856.834820620297
2014,1589100,878.9613616815454
2015,1589100,880.1795325581264
1948,189800,1000
1949,189800,977.6571788290212
1950,189800,960.3805434091444
1951,189800,962.1239093055153
1952,189800,933.4547070179106
1953,189800,909.7787459551782
1954,189800,914.1699777161492
1955,189800,891.6326940847008
1956,189800,876.9348922874303
1957,189800,857.380930676994
1958,189800,825.7417625267893
1959,189800,837.377382480941
1960,189800,831.1105810030894
1961,189800,832.4661818028674
1962,189800,822.3785744766681
1963,189800,802.7002511426299
1964,189800,794.9824653908445
1965,189800,812.3692918763294
1966,189800,792.0112421116946
1967,189800,792.6010195492179
1968,189800,809.6721394331377
1969,189800,809.0745484807293
1970,189800,809.2778720804406
1971,189800,819.536624860905
1972,189800,827.3815167774669
1973,189800,834.0512011873952
1974,189800,814.3731435141507
1975,189800,809.4118696554629
1976,189800,774.9138402872404
1977,189800,780.9316976404704
1978,189800,798.580814185519
1979,189800,801.8153988575353
1980,189800,806.7708238711938
1981,189800,796.83606330426
1982,189800,819.2556508770633
1983,189800,827.9550119203586
1984,189800,852.5719298338636
1985,189800,857.6485121449759
1986,189800,868.9396884640092
1987,189800,853.3636357007509
1988,189800,828.0052866147873
1989,189800,812.6756933352707
1990,189800,824.2676757345669
1991,189800,830.4315662611829
1992,189800,842.9359266559647
1993,189800,861.3730852343099
1994,189800,858.6169508702958
1995,189800,864.2653587885244
1996,189800,867.0151168267909
1997,189800,858.5626128959218
1998,189800,846.5605032277091
1999,189800,836.8947558324303
2000,189800,836.6630194905671
2001,189800,837.1729718251864
2002,189800,845.1285228968858
2003,189800,837.8199208102138
2004,189800,845.0818908787386
2005,189800,834.7823042671886
2006,189800,821.9001351166648
2007,189800,802.7422499704267
2008,189800,797.8801157458744
2009,189800,792.6267547804221
2010,189800,810.664782850368
2011,189800,832.7235150529624
2012,189800,808.0962988520282
2013,189800,801.5718280348675
2014,189800,816.5155280485458
2015,189800,823.1782058936857
1948,310500,1000
1949,310500,979.2610139104206
1950,310500,963.1699934074367
1951,310500,963.998008580043
1952,310500,940.0917685418781
1953,310500,922.0049964979617
1954,310500,921.9134044138617
1955,310500,902.699554571863
1956,310500,886.1396724798245
1957,310500,871.6642758899441
1958,310500,846.9146858082838
1959,310500,859.9500564618928
1960,310500,859.0281619737552
1961,310500,861.4888698422695
1962,310500,851.2139099534834
1963,310500,829.9093923772427
1964,310500,822.2151646185961
1965,310500,841.1515982153676
1966,310500,822.2866631488363
1967,310500,822.0647137324429
1968,310500,842.1896632510346
1969,310500,842.8226678231579
1970,310500,847.7181201361693
1971,310500,851.8760665908399
1972,310500,860.0796359996511
1973,310500,865.6713906283463
1974,310500,849.0667188120559
1975,310500,843.0448292495078
1976,310500,810.3120470083813
1977,310500,819.7048526062763
1978,310500,833.481852221864
1979,310500,839.860023739429
1980,310500,846.95230359467
