dat$Date,dat$WBIC,2.5%,50%,97.5%
1990-01-27,1858200,2024.1031222684373,2078.8658274921268,2124.638621467502
1990-01-28,1858200,2022.6241705016241,2077.361856715139,2123.1862156330485
1990-01-29,1858200,2023.6142110472058,2078.479329886295,2124.21472575758
1990-01-30,1858200,2022.1233842872139,2076.9620876711433,2122.5276459209254
1990-01-31,1858200,2020.6385666389383,2075.4440402777336,2121.0764316199675
1990-02-01,1858200,2019.1073350111537,2073.975254104234,2119.748178480201
1990-02-02,1858200,2017.5718390966965,2072.61176930114,2118.3250206951934
1990-02-03,1858200,2016.154059773738,2071.244855175191,2116.797153110477
1990-02-04,1858200,2014.4931214313447,2069.3817885047306,2115.133197709626
1990-02-05,1858200,2014.4469038664433,2069.450555761462,2115.0808375858455
1990-02-06,1858200,2012.979078597753,2067.9475800561086,2113.5302521117283
1990-02-07,1858200,2011.5037665215068,2066.4423759422825,2112.018589707519
1990-02-08,1858200,2010.1213621680508,2065.0602285827936,2110.561578608713
1990-02-09,1858200,2008.6962377831123,2063.5273866783855,2109.268145119325
1990-02-10,1858200,2007.2558479772892,2062.068202747826,2107.800149289237
1990-02-11,1858200,2005.810462393177,2060.5087865566807,2106.308020526923
1990-02-12,1858200,2004.3704182849647,2059.2098521441767,2104.9145928769008
1990-02-13,1858200,2003.786382104879,2058.541354446548,2104.327950679791
1990-02-14,1858200,2002.2297884584364,2057.031813171141,2102.7068013684443
1990-02-15,1858200,2000.6095714613339,2055.509955513331,2101.2486705616498
1990-02-16,1858200,1999.1322601535287,2054.0221937233287,2099.9792474566734
1990-02-17,1858200,1998.1431791275763,2053.0700736574886,2098.995038390793
1990-02-18,1858200,2007.2311761492222,2062.3505784064146,2108.3907291037867
1990-02-19,1858200,2005.5289865652744,2060.4031039499405,2106.640835950916
1990-02-20,1858200,2004.002804197617,2058.8730049299083,2105.116006193408
1990-02-21,1858200,2002.4756463864098,2057.382837572305,2103.5969945528673
1990-02-22,1858200,2001.0877736066327,2056.117981177573,2102.219769481602
1990-02-23,1858200,1999.6627763585575,2054.6673699256808,2100.8360875493163
1990-02-24,1858200,1999.7996964699155,2054.9179609015937,2101.0262287429096
1990-02-25,1858200,1999.7627387670339,2054.78765572148,2100.948521388133
1990-02-26,1858200,1999.6875255219393,2054.7272047638994,2100.8142340540735
1990-02-27,1858200,1998.1999905578698,2053.1347000516,2099.356356877474
1990-02-28,1858200,1996.7830031289725,2051.606138359214,2097.8839225082356
1990-03-01,1858200,1995.0175144940508,2049.727540709647,2096.117194668758
1990-03-02,1858200,1993.3437543228742,2048.003341305583,2094.380019767255
1990-03-03,1858200,1991.877991593388,2046.532352979209,2092.847107992382
1990-03-04,1858200,1990.4495314298815,2045.127660593894,2091.439632149095
1990-03-05,1858200,1989.1153106348033,2043.678699081,2090.0686342295817
1990-03-06,1858200,1988.354409987463,2042.892609038286,2089.2395515747608
1990-03-07,1858200,1986.7689689421682,2041.4750024487862,2087.6124293854737
1990-03-08,1858200,1985.1769873348326,2039.8738930642264,2086.0162068113527
1990-03-09,1858200,1983.8696185703031,2038.5632644951957,2084.6718493532135
1990-03-10,1858200,1991.6882482901228,2046.38539549106,2092.172093160573
1990-03-11,1858200,1990.3736850358325,2045.0070165455486,2090.898698430191
1990-03-12,1858200,1990.202542734642,2044.6099109627348,2090.5475435956982
