WiscID,Name,County,MinYr,MaxYr,NumOb,NumYr,source,LakeType,WIBIC,lagoslakeid,lat,long
245,Bug Lake,Forest,1983,1983,1,1,USGS,seepage,574100,57328,45.57829696,-88.8265018
246,Cosgrove Lake,Florence,1970,1981,5,5,DNR Historical Data,seepage,585100,4914,45.89388237,-88.1652623
247,Morgan Lake,Florence,1987,1998,3746,12,USGS,seepage,589400,2132,45.7724593,-88.5462324
248,Morgan Lake,Florence,1970,1979,37,6,USGS,seepage,589400,2132,45.7724593,-88.5462324
249,Mud Lake,Florence,1973,1981,5,5,DNR Historical Data,seepage,589800,83296,45.93693733,-88.24583921
258,Ellwood Lake,Florence,1968,1981,5,5,DNR Historical Data,seepage,650500,4442,45.85831516,-88.14237781
268,Three Johns Lake,Forest,1972,1984,4,3,DNR Historical Data,seepage,692600,4639,45.92319464,-88.98029623
271,Railroad Lake,Florence,1967,1979,5,5,DNR Historical Data,seepage,702800,4683,45.88430957,-88.13719638
277,Spectacle Lake,Vilas,1972,1984,5,4,DNR Historical Data,seepage,717400,4343,46.00522899,-89.02099272
279,Booth Lake,Walworth,1992,2003,24,6,USGS,seepage,740400,4792,42.80001387,-88.4300969
280,Wandawega Lake,Walworth,1967,1984,6,6,DNR Historical Data,seepage,740700,4864,42.74338896,-88.56699482
281,Lily Lake,Kenosha,1967,1982,5,4,DNR Historical Data,seepage,740900,5181,42.56325826,-88.21252821
282,North Lake,Walworth,1937,2015,3837,50,USGS,seepage,741200,1396,42.74390169,-88.6292696
283,Pleasant Lake,Walworth,1985,1990,161,6,USGS,seepage,741500,4881,42.79084599,-88.55648959
284,Pleasant Lake,Walworth,1947,1984,7,7,DNR Historical Data,seepage,741500,4881,42.7878957,-88.5518617
285,Rockland Lake,Racine,1967,1981,786,15,USGS,seepage,741600,4313,42.6761283,-88.2492572
286,Rockland Lake,Racine,1967,1984,4,4,DNR Historical Data,seepage,741600,4313,42.67657972,-88.25270459
287,Silver Lake,Walworth,1975,1984,5,5,DNR Historical Data,seepage,741700,5358,42.72640084,-88.57078458
288,Swift Lake,Walworth,1967,1985,5,5,DNR Historical Data,seepage,741800,4574,42.8176978,-88.5129896
295,Flanagan Lake,Kenosha,1967,1981,3,3,DNR Historical Data,seepage,748800,31817,42.61132559,-88.17927399
314,Spring Lake,Waukesha,1967,1982,4,4,DNR Historical Data,seepage,770600,5520,42.91463275,-88.37221514
315,Bean Lake,Jefferson,1970,1981,3,3,DNR Historical Data,seepage,774200,3936,43.05819473,-88.94465374
316,Beaver Lake,Waukesha,1927,2015,3797,45,USGS,seepage,774400,5121,43.12361845,-88.3614848
318,Goose Lake,Columbia,1976,1995,11,8,DNR Historical Data,seepage,776000,49534,43.31873151,-89.36594494
320,Middle Genesee Lake,Waukesha,1996,2015,656,20,USGS,seepage,778300,5257,43.0475,-88.4797222
321,Middle Genesee Lake,Waukesha,1970,1993,3,3,DNR Historical Data,seepage,778300,5257,43.05091368,-88.47921537
322,Pine Lake,Waukesha,1931,2005,3334,50,USGS,seepage,779200,5092,43.125007,-88.3903744
323,Pretty Lake,Waukesha,1963,1997,25,10,DNR Historical Data,seepage,779300,1641,42.95497772,-88.49890784
324,Silver Lake,Waukesha,1992,1996,111,5,USGS,seepage,779800,1677,43.07667407,-88.492599
325,"ESSER'S POND AT MIDDLETON, WI",Dane,1981,1982,30,2,USGS,seepage,783730,NA,43.09277,-89.5229
326,Tiedemans Pond,Dane,1981,1982,350,2,USGS,seepage,783740,357,43.0902731,-89.5048432
327,Strickers Pond,Dane,1981,1982,351,2,USGS,seepage,783750,355,43.0872176,-89.5098433
328,Strickers Pond,Dane,1981,1993,2,2,DNR Historical Data,seepage,783750,355,43.08712604,-89.50954045
338,Hope Lake,Jefferson,1976,1979,19,4,USGS,seepage,809800,2224,43.02111195,-88.9878876
339,Hope Lake,Jefferson,1969,1985,12,7,DNR Historical Data,seepage,809800,2224,43.02486934,-88.98409053
340,Red Cedar Lake,Jefferson,1970,1993,13,7,DNR Historical Data,seepage,813100,1726,42.9768446,-88.98356222
364,Goose Lake,Dane,1970,1993,10,7,DNR Historical Data,seepage,872600,1957,43.00080925,-89.48871263
365,Morse Pond,Dane,1975,1979,593,5,USGS,seepage,872800,10893,43.01749699,-89.5342883
366,Graber Pond,Dane,1988,1989,442,2,USGS,seepage,873950,11879,43.1197168,-89.5070653
368,Aldridge Lake,Oneida,1974,1981,3,3,DNR Historical Data,seepage,967400,3584,45.86595106,-89.30128337
369,Alma Lake,Vilas,1984,1996,1184,12,USGS,seepage,967900,5465,45.9071749,-89.4298607
370,Ament Lake,Lincoln,1974,1981,2,2,DNR Historical Data,seepage,968200,71167,45.41734585,-89.51181065
371,Anvil Lake,Vilas,1936,2015,4014,72,USGS,seepage,968800,5150,45.95013889,-89.05425
372,Anvil Lake,Vilas,1973,1987,7,7,DNR Historical Data,seepage,968800,5150,45.94340244,-89.0639014
373,Bass Lake,Lincoln,1977,1978,44,2,USGS,seepage,969600,NA,45.4235707,-89.4901266
374,Big Carr Lake,Oneida,1940,1984,6,4,DNR Historical Data,seepage,971600,3728,45.79092184,-89.62946191
375,Bird Lake,Oneida,1970,1984,5,5,DNR Historical Data,seepage,972000,4528,45.79775099,-89.6664863
376,Bobcat Lake,Oneida,1978,1981,3,3,DNR Historical Data,seepage,972500,57804,45.85026465,-89.75737623
377,Bullhead Lake,Oneida,1978,1981,3,3,DNR Historical Data,seepage,974700,3687,45.8843055,-89.71408273
378,Chickaree Lake,Vilas,1973,1984,4,4,DNR Historical Data,seepage,976800,3571,45.90628476,-89.35819389
379,Clear Lake,Oneida,1940,1984,8,7,DNR Historical Data,seepage,977500,4570,45.87031738,-89.62480011
380,Crescent Lake,Oneida,1973,1981,4,3,DNR Historical Data,seepage,978500,3918,45.89450149,-89.75555529
381,Crystal Lake,Dane,1967,1997,16,11,DNR Historical Data,seepage,978900,3959,43.29040412,-89.62304764
382,Crystal Lake,Columbia,1983,1985,3,3,DNR Historical Data,seepage,979000,1282,43.53104822,-89.25400573
383,Crystal Lake,Lincoln,1939,1981,7,6,DNR Historical Data,seepage,979100,4296,45.54195299,-89.7066446
384,Devils Lake,Sauk,1922,2015,13328,92,USGS,seepage,980900,4504,43.42638889,-89.7277778
385,Devils Lake,Sauk,1975,1985,3,3,DNR Historical Data,seepage,980900,4504,43.41736213,-89.73163207
386,Duck Lake,Langlade,1940,1981,7,5,DNR Historical Data,seepage,981500,1151,45.38072111,-89.24739846
387,Duck Lake - Staff Gage,Langlade,2015,2015,11,1,SWIMS,seepage,981500,1151,45.384106,-89.24992
388,Witches Lake,Vilas,1972,1981,2,2,DNR Historical Data,seepage,982500,3557,45.97856319,-89.59001876
389,Elna Lake,Oneida,1970,1981,3,3,DNR Historical Data,seepage,983300,16949,45.69317805,-89.56853735
391,Fetke Lake,Oneida,1973,1981,4,4,DNR Historical Data,seepage,984400,62937,45.68933519,-89.47017582
392,Finley Lake,Vilas,1929,1984,4,4,DNR Historical Data,seepage,984800,772,45.91046069,-89.4182174
393,Fish Lake (Hancock),Waushara,1971,2015,129,27,USGS,seepage,985000,1538,44.1188627,-89.477621
394,Fish Lake,Dane,1966,2003,3220,35,USGS,seepage,985100,2746,43.28387815,-89.6542885
395,Fish Lake,Dane,1975,1993,8,8,DNR Historical Data,seepage,985100,2746,43.28754854,-89.65221783
396,Hemlock Lake,Oneida,1970,1981,3,3,DNR Historical Data,seepage,989200,91050,45.87658969,-89.65107952
397,Hodstradt Lake,Oneida,1970,1981,3,3,DNR Historical Data,seepage,990700,4358,45.80732083,-89.56353808
398,Honeysuckle Lake,Vilas,1987,1989,731,3,USGS,seepage,991000,3843,45.9618971,-89.3620816
399,Hunter Lake,Vilas,1973,1984,4,4,DNR Historical Data,seepage,991700,5430,46.00354657,-89.32210604
400,Indian Lake,Langlade,1974,1981,3,3,DNR Historical Data,seepage,991900,NA,45.32388699,-89.21293801
401,Kimball Lake,Langlade,1974,1981,4,3,DNR Historical Data,seepage,993800,59875,45.28971339,-89.16168608
402,Buteau Lake,Lincoln,1972,1981,3,3,DNR Historical Data,seepage,994400,5045,45.4394513,-89.47572802
403,Lake Clara,Lincoln,1980,1986,2175,7,USGS,seepage,994700,70336911,45.51662728,-89.5751328
404,Geroge Lake,Columbia,1970,1994,7,6,DNR Historical Data,seepage,994800,5253,43.52221917,-89.38100997
