"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"BB[7,2]",0.545316463221802,0.11705046346053,0.305052495068821,0.46734445760555,0.549589959884186,0.626912235542286,0.769623614154775,1.00333338836029,570,0,1
"BB[8,2]",0.747595436823158,0.163378778030456,0.435087391858925,0.633594851992567,0.746021779794823,0.854569443949473,1.0850151976675,1.00504493380743,1500,0,1
"BB[9,2]",0.801187933233156,0.196062719009591,0.415028713686225,0.669564373101216,0.800204329769906,0.931182293128085,1.19053754569446,1.00070571433385,1500,0,1
"BB[10,2]",0.840643754412028,0.192090307333787,0.469499914918315,0.709564228857426,0.838938354235639,0.967591162188751,1.23591373190465,1.00077870632117,1500,0,1
"BB[11,2]",1.12554954727322,0.120591938548396,0.888210762089991,1.04073690589857,1.12735961434163,1.20919844575939,1.35009681615858,1.00214215546625,1500,0,1
"BB[12,2]",0.96032709748508,0.0932684265294195,0.779540191997992,0.896627814411501,0.959440603516336,1.02443147978842,1.14224035504931,1.0010260469936,1500,0,1
"BB[13,2]",0.976080720867007,0.0638159305961558,0.8511357715944,0.933385774298483,0.978433647098652,1.01942690322364,1.0985208902666,1.00300521429872,677,0,1
"BB[14,2]",0.988592804493595,0.0898835134230081,0.809936297453638,0.93067448073347,0.989058528433966,1.05172087345739,1.15974088295585,1.00017982274217,1500,0,1
"BB[15,2]",0.958001014580024,0.216070156788298,0.550333067515146,0.807352392683344,0.950536165688643,1.10256448493004,1.40468419708953,1.00074406393867,1500,0,1
"BB[16,2]",0.807384409692667,0.210819563212668,0.380895332163849,0.662183776895324,0.810706718189536,0.954538238669859,1.21702879290974,1.000581316224,1500,0,1
"BB[17,2]",0.880695814534143,0.110788504690673,0.66350370448455,0.803442257344348,0.882292053273805,0.953839809507177,1.10058413430177,1.00026184609357,1500,0,1
"BB[18,2]",0.783111824795854,0.0786678984596995,0.62959451128956,0.729590865375854,0.782246299342638,0.837365858013998,0.940785883885967,1.00151914690971,978,0,1
"BB[19,2]",0.513063829555155,0.0567893697896903,0.402497190787095,0.474151054570763,0.51361747052901,0.551651394810884,0.62321255231694,1.00064765382775,1500,0,1
"BB[20,2]",1.50457392293832,0.0724429108205724,1.36788142532075,1.45319387324203,1.50552815253999,1.55321167874204,1.6493410613635,1.00025854085191,1500,0,1
"BB[21,2]",0.890166974133184,0.0582954421818754,0.777786623454391,0.850399179262979,0.8921043303445,0.929358432721303,1.00209442508157,1.00548913602132,440,0,1
"BB[22,2]",0.903279506531549,0.154994307808638,0.596527120262859,0.802878331679055,0.906614833457631,1.01293707878879,1.19928813695901,1.00186429833523,715,0,1
"BB[23,2]",0.908205640074054,0.0999555900283505,0.719079162963251,0.841650139944646,0.909074896914267,0.974790519377101,1.10111971694335,1.0011421999007,1500,0,1
"BB[24,2]",1.02858344856956,0.0493277454112592,0.933882090349485,0.994220398937953,1.02925489695516,1.06219326927479,1.12127038097838,1.00306583354185,518,0,1
